company_id,rank,offer_product,prob,expected_revenue
comp_490e525fa69d,2,Расширения,0.020399043767543514,254.95187299971772
comp_490e525fa69d,3,Enterprise-300,0.0011709361250997832,22.506887136492427
comp_4980528571e5,1,Расширения,0.5466966263470161,6832.738359607094
comp_4980528571e5,2,Тарифы Webinar СМБ,0.43169674811748787,4981.54977538216
comp_4980528571e5,3,Enterprise-300,0.0031165443626844317,59.903961218066286
comp_4997a3d3d555,1,Enterprise Total-500,0.5424093440693735,22766.728201738504
comp_4997a3d3d555,2,Расширения,0.2817308453309128,3521.135966833587
comp_4997a3d3d555,3,Enterprise Total-300,0.11542418601806662,3607.156891842092
comp_49a0ad9882aa,1,Тарифы Webinar СМБ,0.7764576152341768,8959.905942379026
comp_49a0ad9882aa,2,Расширения,0.19126884198341232,2390.521343345806
comp_49a0ad9882aa,3,Enterprise-150,0.007312197925030982,122.71165726466862
comp_49a50ebe80f2,1,Enterprise-150,0.743758294001705,12481.584032191684
comp_49a50ebe80f2,2,Расширения,0.20656539043998262,2581.7010733309226
comp_49a50ebe80f2,3,Тарифы Webinar СМБ,0.03137996518218502,362.10802881070225
comp_49afb3517e02,1,Расширения,0.44917034751249296,5613.832819774105
comp_49afb3517e02,2,Общие Тарифы Webinar Enterprise,0.3595853858363107,21278.99400890168
comp_49afb3517e02,3,Тарифы Webinar СМБ,0.10037639042873371,1158.289904601842
comp_49e2ab73cb74,1,Расширения,0.5173431827949062,6465.872368343862
comp_49e2ab73cb74,2,Тарифы Webinar СМБ,0.3661101619807172,4224.715620706541
comp_49e2ab73cb74,3,Enterprise-50,0.05089552212112833,728.522545885465
comp_49f62992ca4e,1,Тарифы Webinar СМБ,0.8454632471005039,9756.194057642408
comp_49f62992ca4e,2,Расширения,0.11688799308530759,1460.8926333935644
comp_49f62992ca4e,3,Enterprise-150,0.013834894702262695,232.17408423605357
comp_4a0625f1386e,1,Расширения,0.478515103042752,5980.590226170871
comp_4a0625f1386e,2,Тарифы Webinar СМБ,0.4138998773453824,4776.183397284822
comp_4a0625f1386e,3,Enterprise-150,0.08102867769261965,1359.8050035802214
comp_4a0c3fb908ac,1,Расширения,0.5768601544388204,7209.728971074917
comp_4a0c3fb908ac,2,Тарифы Webinar СМБ,0.3970155214688007,4581.346953435662
comp_4a0c3fb908ac,3,Общие Тарифы Webinar Enterprise,0.0036090286877530292,213.56957999291456
comp_4a5eed956b6d,1,Тарифы Webinar СМБ,0.6199734799376118,7154.162645870982
comp_4a5eed956b6d,2,Расширения,0.27999164554858214,3499.3990537175223
comp_4a5eed956b6d,3,Enterprise-100,0.02632945022738816,390.87415567214447
comp_4acce73fa7bd,1,Расширения,0.5794461929360942,7242.049866409156
comp_4acce73fa7bd,2,Тарифы Webinar СМБ,0.38843299874702625,4482.309227709657
comp_4acce73fa7bd,3,Enterprise-300,0.004835384814612199,92.94226896852469
comp_4ad884a2db59,1,Enterprise-300,0.3992569278921117,7674.227843781568
comp_4ad884a2db59,2,Расширения,0.30318803406579203,3789.3127754921375
comp_4ad884a2db59,3,Тарифы Webinar СМБ,0.26584496508245764,3067.7088300247665
comp_4ada534add89,1,Тарифы Webinar СМБ,0.6044027346623405,6974.484566370021
comp_4ada534add89,2,Расширения,0.37589781469932726,4698.056095481137
