company_id,segment,action,priority,ltv_pred_lgb_clip,ltv_12m_actual,ltv_rank,monetary_12m,growth_rate_12m,frequency,n_unique_products,renewal_share_line,has_collab
comp_2717911b4fcd,VIP_Default,Проверить ключевого клиента (VIP),VIP,444320.99037156306,2830000.0,1.0,1553000.0,62.12,22,7,0.8846153846153846,0
comp_8d2a338f8fd2,VIP_Default,Проверить ключевого клиента (VIP),VIP,341507.229717937,744000.0,2.0,311000.0,0.8405405405405405,11,4,0.88,0
comp_561ee9bd5ef0,VIP_Default,Проверить ключевого клиента (VIP),VIP,326689.229305187,552000.0,3.0,376000.0,1.1786833855799372,28,9,0.8085106382978723,0
comp_f53c509c3e3b,VIP_Default,Проверить ключевого клиента (VIP),VIP,304445.22546049947,163000.0,4.0,175000.0,0.9259259259259259,9,5,0.9583333333333334,0
comp_d12d50a5ac36,VIP_Default,Проверить ключевого клиента (VIP),VIP,290346.11082897446,244000.0,5.0,216000.0,1.0434782608695652,28,10,0.84,0
comp_e9c6c517e5a3,VIP_Default,Проверить ключевого клиента (VIP),VIP,277004.71508002374,0.0,6.0,516000.0,1.5542168674698795,23,12,0.8484848484848485,0
comp_7b3e4c10b02c,VIP_Default,Проверить ключевого клиента (VIP),VIP,274225.15419016156,397000.0,7.0,347000.0,1.0981012658227849,16,9,0.75,0
comp_22a516bd5fa2,VIP_Default,Проверить ключевого клиента (VIP),VIP,257072.8283457504,57000.0,8.0,249000.0,0.4911242603550296,10,7,0.6551724137931034,0
comp_2661cea9a842,VIP_Default,Проверить ключевого клиента (VIP),VIP,256707.5567830474,0.0,9.0,172000.0,0.0,16,5,0.6666666666666666,0
comp_53825f3f8106,High_CrossSell,Кросс-сейл: предложить доп. продукты,VIP,249120.8265883501,18000.0,10.0,391000.0,2.057894736842105,3,2,0.8571428571428571,0
comp_fc0476ca4b12,VIP_Growth,Retention + Upsell коллаб-продуктов,VIP,246427.2980041106,252000.0,11.0,256000.0,1.610062893081761,13,6,0.8,0
comp_b481d9889d29,VIP_Growth,Retention + Upsell коллаб-продуктов,VIP,241159.47621948874,446000.0,12.0,203000.0,1.780701754385965,9,4,0.5454545454545454,0
